number,name,status
1,PEP 1 – PEP Purpose and Guidelines,1
227,PEP 227 – Statically Nested Scopes,1
234,PEP 234 – Iterators,1
230,PEP 230 – Warning Framework,1
228,PEP 228 – Reworking Python’s Numeric Model,1
229,PEP 229 – Using Distutils to Build Python,1
231,PEP 231 – __findattr__(),1
232,PEP 232 – Function Attributes,1
233,PEP 233 – Python Online Help,1
226,PEP 226 – Python 2.1 Release Schedule,1
224,PEP 224 – Attribute Docstrings,1
225,PEP 225 – Elementwise/Objectwise Operators,1
223,PEP 223 – Change the Meaning of ,1
222,PEP 222 – Web Library Enhancements,1
8104,PEP 8104 – 2023 Term Steering Council election,1
220,"PEP 220 – Coroutines, Generators, Continuations",1
221,PEP 221 – Import As,1
8103,PEP 8103 – 2022 Term Steering Council election,1
8102,PEP 8102 – 2021 Term Steering Council election,1
8101,PEP 8101 – 2020 Term Steering Council election,1
8014,PEP 8014 – The Commons Governance Model,1
8100,PEP 8100 – January 2019 Steering Council election,1
8015,PEP 8015 – Organization of the Python community,1
8016,PEP 8016 – The Steering Council Model,1
8012,PEP 8012 – The Community Governance Model,1
8001,PEP 8001 – Python Governance Voting Process,1
8011,PEP 8011 – Python Governance Model Lead by Trio of Pythonistas,1
8010,PEP 8010 – The Technical Leader Governance Model,1
8002,PEP 8002 – Open Source Governance Survey,1
8000,PEP 8000 – Python Language Governance Proposal Overview,1
8013,PEP 8013 – The External Council Governance Model,1
3156,PEP 3156 – Asynchronous IO Support Rebooted: the “asyncio” Module,1
3333,PEP 3333 – Python Web Server Gateway Interface v1.0.1,1
3155,PEP 3155 – Qualified name for classes and functions,1
3154,PEP 3154 – Pickle protocol version 4,1
3149,PEP 3149 – ABI version tagged .so files,1
3151,PEP 3151 – Reworking the OS and IO exception hierarchy,1
3152,PEP 3152 – Cofunctions,1
3153,PEP 3153 – Asynchronous IO support,1
3150,PEP 3150 – Statement local namespaces (aka “given” clause),1
3148,PEP 3148 – futures - execute computations asynchronously,1
3145,PEP 3145 – Asynchronous I/O For subprocess.Popen,1
3144,PEP 3144 – IP Address Manipulation Library for the Python Standard Library,1
3147,PEP 3147 – PYC Repository Directories,1
3142,PEP 3142 – Add a “while” clause to generator expressions,1
3140,"PEP 3140 – str(container) should call str(item), not repr(item)",1
3143,PEP 3143 – Standard daemon process library,1
3146,PEP 3146 – Merging Unladen Swallow into CPython,1
3139,PEP 3139 – Cleaning out sys and the “interpreter” module,1
3141,PEP 3141 – A Type Hierarchy for Numbers,1
3138,PEP 3138 – String representation in Python 3000,1
3137,PEP 3137 – Immutable Bytes and Mutable Buffer,1
3136,PEP 3136 – Labeled break and continue,1
3135,PEP 3135 – New Super,1
3134,PEP 3134 – Exception Chaining and Embedded Tracebacks,1
3133,PEP 3133 – Introducing Roles,1
3132,PEP 3132 – Extended Iterable Unpacking,1
3131,PEP 3131 – Supporting Non-ASCII Identifiers,1
3130,PEP 3130 – Access to Current Module/Class/Function,1
3129,PEP 3129 – Class Decorators,1
3126,PEP 3126 – Remove Implicit String Concatenation,1
3125,PEP 3125 – Remove Backslash Continuation,1
3128,PEP 3128 – BList: A Faster List-like Type,1
3124,"PEP 3124 – Overloading, Generic Functions, Interfaces, and Adaptation",1
3122,PEP 3122 – Delineation of the main module,1
3123,PEP 3123 – Making PyObject_HEAD conform to standard C,1
3127,PEP 3127 – Integer Literal Support and Syntax,1
3121,PEP 3121 – Extension Module Initialization and Finalization,1
3120,PEP 3120 – Using UTF-8 as the default source encoding,1
3119,PEP 3119 – Introducing Abstract Base Classes,1
3118,PEP 3118 – Revising the buffer protocol,1
3116,PEP 3116 – New I/O,1
3117,PEP 3117 – Postfix type declarations,1
3115,PEP 3115 – Metaclasses in Python 3000,1
3113,PEP 3113 – Removal of Tuple Parameter Unpacking,1
3114,PEP 3114 – Renaming iterator.next() to iterator.__next__(),1
3112,PEP 3112 – Bytes literals in Python 3000,1
3111,PEP 3111 – Simple input built-in in Python 3000,1
3110,PEP 3110 – Catching Exceptions in Python 3000,1
3109,PEP 3109 – Raising Exceptions in Python 3000,1
3108,PEP 3108 – Standard Library Reorganization,1
3107,PEP 3107 – Function Annotations,1
3106,"PEP 3106 – Revamping dict.keys(), .values() and .items()",1
3105,PEP 3105 – Make print a function,1
3104,PEP 3104 – Access to Names in Outer Scopes,1
3103,PEP 3103 – A Switch/Case Statement,1
3102,PEP 3102 – Keyword-Only Arguments,1
3003,PEP 3003 – Python Language Moratorium,1
